id,short_name,country,sector,confidence_tier,weighted_total,speed_to_contract,strategic_moat,defensibility,capital_access,russian_cis_fit,target_person_id,target_person_name,target_person_role,target_person_linkedin,target_person_priority_tier,operational_counterpart_id,operational_counterpart_name,lead_institution_id,lead_institution,decree_id,decree_number,decree_title_en,donor_program_id,donor,donor_program_name,ttl_pm_name,precedent_case_id,precedent_case,precedent_country,procurement_pathway,estimated_initial_contract_usd,estimated_3yr_revenue_usd,pitch_hook,next_30_day_actions,verification
INI-025,AI Weather Forecasting (UZ-MChS),UZ,Environment & Climate,B,7.1,7,7,7,7,8,uz-firdavs-abdullayev,Firdavs Abdullayev,"CEO, IT Park Uzbekistan",https://www.linkedin.com/in/firdavs-abdullayev,1,uz-mintsifry-dep2,Asilbek Nasimov,UZ-MINCSS,Ministry of Emergency Situations of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,UNDP-UZ-DIGITAL-PUBADMIN,UNDP,Public Administration Reforms and Digital Transformation (Uzbekistan) — completed phase; follow-on active,[TTL_NOT_FOUND] UNDP Uzbekistan Digital Programme Manager. Search path: jobs.undp.org UNDP-UZ digital programme manager vacancy post.,case-nl-deltares-flood-ai,Deltares / Netherlands Flood Early Warning AI,Netherlands,donor_program,1800000,6500000,Deltares flood AI saves Netherlands billions in flood damage annually. UZ Pamir-Fergana valleys face escalating climate risks. UNDP-UZ-DIGITAL-PUBADMIN ($4.9M) provides envelope — we deliver Russian-Uzbek MChS AI.,Schedule meeting with MChS digital department. | Reach out to UNDP-UZ-DIGITAL-PUBADMIN TTL. | Engage Uzhydromet cooperation. | Deltares partnership letter.,L2_VERIFIED
INI-043,Speech Recognition Uzbek/Russian (UZ),UZ,AI Infrastructure (Enabling Layer),C,7.1,5,8,8,6,9,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-AI-CENTER,Center for the Development of Artificial Intelligence and Digital Economy (under Ministry of Digital Technologies),UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,EBRD-UZ-DIGITAL-STRATEGY,EBRD,EBRD Uzbekistan Country Strategy 2024-2028 — Digital Economy and SME Digitalization Component,[TTL_NOT_FOUND] EBRD Uzbekistan Principal Banker (head of resident mission). Search path: ebrd.com/where-we-are/uzbekistan.,case-in-bhashini,India Bhashini Multilingual AI Platform,India,tender,1500000,6000000,INI-006 sovereign LLM needs voice channel. India Bhashini proves multilingual ASR. We deliver Uzbek-Russian ASR/TTS.,AI Center meeting. | NUU corpus partnership. | EBRD digital alignment. | Cross-link INI-003 / INI-006.,INFERRED
INI-038,AI Crime Analytics for UZ Prosecutor,UZ,Security & Public Order,B,7.05,6,7,8,6,9,uz-mintsifry-dep3,Komiljon Turdiyev,"Deputy Minister of Digital Technologies (AI & Innovation), Republic of Uzbekistan",,2,uz-akbar-tashkulov,Akbar Tashkulov,UZ-PROSECUTOR,Prosecutor General's Office of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,UNDP-UZ-AI-COURTS,UNDP,ICT Implementation in Civil Courts of Uzbekistan,[TTL_NOT_FOUND] UNDP Uzbekistan Rule of Law / Justice cluster. Search path: undp.org/uzbekistan/publications/analytical-note-ict-implementation-civil-courts-uzbekistan.,case-kz-antikorruption-ai,Kazakhstan Anti-Corruption Agency AI Monitoring System,Kazakhstan,direct,2200000,8000000,KZ Antikorruption-AI catches networks. UZ Prosecutor's Office handles thousands of complex cases. We deliver bilingual + sovereign analytics.,Prosecutor digital meeting. | UNDP-UZ-AI-COURTS TTL. | Cross-link INI-002. | KZ reference.,L2_VERIFIED
INI-031,Middle Corridor Logistics AI (UZ),UZ,Transport & Urban,B,6.95,6,7,7,7,8,uz-icta-head,Nodir Yusupov,"Director, Agency for Communications and Information Technologies Regulation (ICTA) under MoDT",,2,uz-mintsifry-dep2,Asilbek Nasimov,UZ-MINTRANSPORT,Ministry of Transport of the Republic of Uzbekistan,UZ-UP-2024-157,УП-157,On Additional Measures to Support Enterprises Engaged in Export Activities in Digitalization,JICA-UZ-DIGITAL-INNOVATION,JICA,JICA Uzbekistan Digital Technology and Innovation Cooperation (Uzbek-Japanese Youth Innovation Center + Technical Cooperation),[TTL_NOT_FOUND] JICA Uzbekistan Office Representative (Tashkent). Search path: jica.go.jp/uzbekistan/english/.,case-in-fastag-national-tolls,India FASTag National Electronic Toll Collection,India,donor_program,2200000,7500000,Middle Corridor traffic doubling annually. JICA + ADB envelope authorize. India FASTag + KZ Smart Bridge prove the architecture. We deliver Russian-Uzbek logistics AI.,Schedule MinTransport meeting. | Reach out to JICA TTL. | Cross-link INI-005. | Engage KZ KazTransLogistics.,L2_VERIFIED
INI-026,Aral Desertification AI (UZ),UZ,Environment & Climate,B,6.85,6,7,7,7,8,uz-icta-head,Nodir Yusupov,"Director, Agency for Communications and Information Technologies Regulation (ICTA) under MoDT",,2,uz-uzgps-piu-director,Alisher Yunusov,UZ-SPACE-AGENCY,Agency for Space Research and Technologies of the Republic of Uzbekistan (Uzbekistan Space Agency),UZ-UP-2024-155,УП-155,On Measures to Introduce Aerospace Technologies in Economic Sectors in 2024-2026,WB-UZ-P506803,WorldBank,Geospatial Infrastructure for Sustainable Territorial Development,"[TTL_NOT_FOUND] Project approved Feb 2025; Practice Area: Urban, Resilience and Land. Implementing agencies: MoEF and Cadastre Agency. Specific TTL not identified in available press releases or PAD summary. Search path: documents.worldbank.org P506803 project appraisal document.",case-kz-aral-monitoring,Kazakhstan Aral Sea Restoration AI Monitoring,Kazakhstan,donor_program,1500000,6000000,KZ Aral monitoring catches desertification early. UZ-side Aral is even more critical. UP-155 aerospace + WB P506803 envelope authorize. We deliver Russian-Uzbek-Karakalpak desertification AI.,Engage Space Agency cooperation MoU. | Reach out to WB P506803 TTL. | Schedule meeting with Karakalpakstan akimat digital department. | Cross-link with INI-009.,L2_VERIFIED
INI-045,AI Open Data Platform (UZ),UZ,Public Administration & e-Government,C,6.55,6,6,7,7,7,uz-mintsifry-dep1,Sarvar Komilov,"First Deputy Minister of Digital Technologies, Republic of Uzbekistan",https://www.linkedin.com/in/sarvar-komilov,2,uz-egov-uzcloud-head,Bobur Iskandarov,UZ-DXA,Digital Transformation Agency (DXA) — E-Government Service Center,UZ-UP-2024-132,УП-132,On Measures to Implement Tasks Defined in the Fourth Open Dialogue of the President of the Republic of Uzbekistan with Entrepreneurs,WB-UZ-P179108,WorldBank,Uzbekistan Digital Inclusion Project,[TTL_NOT_FOUND] Press release names Mirzo Ibragimov (Tashkent contact) and Sona Panajyan (Washington DC contact) as Bank contacts; dedicated TTL not publicly identified in available documents. Search path: documents.worldbank.org P179108 ISR sequence reports.,case-id-indonesia-satu-data,Indonesia Satu Data Indonesia Open Data Platform,Indonesia,tender,2200000,7500000,UP-2024-132 + 4th OGP commit UZ to open data. Indonesia Satu Data proves architecture. WB $50M envelope.,MoDT meeting. | WB-UZ-P179108 TTL. | OGP alignment. | Cross-link INI-022.,INFERRED
INI-046,Anti-Corruption AI Monitoring (UZ ASR),UZ,Public Administration & e-Government,C,6.5,5,7,7,6,8,uz-bahador-rakhmatov,Bahador Rakhmatov,"Director, Agency for Strategic Reforms under the President of Uzbekistan",https://www.linkedin.com/in/bahador-rakhmatov,1,uz-antimonopoly-head,Kamoliddin Toshmatov,UZ-ASR,Agency for Strategic Reforms under the President of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,EU-FCDO-CA-GOVERNANCE,FCDO,Effective Governance for Economic Development in Central Asia (EGED) + New Governance Programme,[TTL_NOT_FOUND] FCDO Central Asia Team (London HQ) + FCDO offices in Tashkent and Bishkek. Search path: devtracker.fcdo.gov.uk programme GB-GOV-1-300961.,case-kz-antikorruption-ai,Kazakhstan Anti-Corruption Agency AI Monitoring System,Kazakhstan,direct,1500000,6000000,ASR drives UZ reform. KZ Antikorruption-AI proves the architecture. FCDO $33M envelope authorizes.,ASR meeting. | FCDO TTL. | Cross-link INI-023. | KZ reference.,INFERRED
INI-047,Digital Trust Center Services (UZ DTC),UZ,Public Administration & e-Government,C,6.5,6,6,7,6,8,uz-digital-trust-center-head,Dilnoza Yusupova,"Director, Digital Trust Center (DTC) under MoDT — personal data protection regulator",,3,uz-unicon-head,Murod Tojimatov,UZ-MINTSIFRY,Ministry of Digital Technologies of the Republic of Uzbekistan,UZ-LAW-2022-793,ЗРУ-793,On Electronic Digital Signature,EU-BOTH-C4CA,EU,Connectivity for Central Asia (C4CA),[TTL_NOT_FOUND] EU DG INTPA manages overall. Expertise France leads consortium. Contact: expertise-france.gestmax.fr for project vacancies. EU Delegation officers in Tashkent and Bishkek are political counterparts. Search path: Expertise France website C4CA project page.,case-est-digital-id,Estonian Digital ID & Mobile-ID,Estonia,direct,1200000,4500000,Estonia Digital ID + Mobile-ID power 99% of e-government. UZ DTC needs same. We deliver bilingual + UNICON-certified DTC AI.,DTC meeting. | eGA Estonia partnership. | UNICON dialogue. | Cross-link INI-016.,INFERRED
INI-041,AI Tax Audit Selection (Phase 2 STC),UZ,Finance & Fiscal,C,6.45,5,6,7,7,8,uz-gnk-head,Sherzod Kudbiyev,"Chairman, State Tax Committee of the Republic of Uzbekistan (GNK)",,2,uz-minfinance-digi-dept,Otabek Komilov,UZ-GNK,State Tax Committee of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,WB-UZ-FINREFORM-P176353,WorldBank,Accelerating Uzbekistan's Transition Development Policy Operation,[TTL_NOT_FOUND] DPO managed by Macroeconomics practice. Country Director/Manager: Marco Mantovanelli. Search path: projects.worldbank.org P176353.,case-kz-smartbridge-tax,Kazakhstan Smart Bridge & Tax System Integration,Kazakhstan,direct,2500000,9500000,Phase 1 (INI-004) proves Smart Bridge architecture; Phase 2 expands to behavioral models. WB FinReform DPF lever.,Anchor on INI-004 traction. | WB-UZ-FINREFORM TTL. | Behavioral model R&D. | STC Phase 2 dialogue.,INFERRED
INI-040,Aerospace AI Sentinel Pipeline (UZ),UZ,AI Infrastructure (Enabling Layer),C,6.4,5,7,7,6,7,uz-icta-head,Nodir Yusupov,"Director, Agency for Communications and Information Technologies Regulation (ICTA) under MoDT",,2,uz-cadastre-director,Ulugbek Ismoilov,UZ-SPACE-AGENCY,Agency for Space Research and Technologies of the Republic of Uzbekistan (Uzbekistan Space Agency),UZ-UP-2024-155,УП-155,On Measures to Introduce Aerospace Technologies in Economic Sectors in 2024-2026,WB-UZ-P506803,WorldBank,Geospatial Infrastructure for Sustainable Territorial Development,"[TTL_NOT_FOUND] Project approved Feb 2025; Practice Area: Urban, Resilience and Land. Implementing agencies: MoEF and Cadastre Agency. Specific TTL not identified in available press releases or PAD summary. Search path: documents.worldbank.org P506803 project appraisal document.",case-in-isro-bhuvan,India ISRO Bhuvan Geoportal & Environment Monitoring,India,direct,1500000,5500000,UP-155 created Space Agency. India ISRO Bhuvan proves national geoportal value. We deliver bilingual + sovereign pipeline.,Space Agency MoU dialogue. | Cross-link INI-009 / INI-014 / INI-026. | WB-UZ-P506803 TTL alignment. | Sentinel partnership.,INFERRED
INI-044,AI Mining Optimization (UZ),UZ,Energy,C,6.4,6,6,7,7,7,uz-laziz-kudratov,Laziz Kudratov,"Minister of Investments, Industry and Trade of the Republic of Uzbekistan",https://www.linkedin.com/in/laziz-kudratov,1,uz-mintsifry-dep2,Asilbek Nasimov,UZ-MIIT,"Ministry of Investments, Industry and Trade of the Republic of Uzbekistan",UZ-UP-2024-157,УП-157,On Additional Measures to Support Enterprises Engaged in Export Activities in Digitalization,EBRD-UZ-DIGITAL-STRATEGY,EBRD,EBRD Uzbekistan Country Strategy 2024-2028 — Digital Economy and SME Digitalization Component,[TTL_NOT_FOUND] EBRD Uzbekistan Principal Banker (head of resident mission). Search path: ebrd.com/where-we-are/uzbekistan.,case-kz-digital-mining,Kazakhstan AI for Critical Minerals Exploration (Kazakhmys/Altyntau),Kazakhstan,tender,4500000,13000000,UZ critical-minerals export is strategic priority. KZ Digital Mining + UP-157 authorize. EBRD $200M digital envelope.,Track UZ-TF-2026-013. | MIIT meeting. | EBRD TTL. | Almalyk pilot dialogue.,INFERRED
INI-027,AI Tourism Platform (Samarkand-Bukhara),UZ,Tourism & Culture,B,6.15,6,6,6,6,7,uz-mintsifry-dep3,Komiljon Turdiyev,"Deputy Minister of Digital Technologies (AI & Innovation), Republic of Uzbekistan",,2,uz-mintsifry-dep1,Sarvar Komilov,UZ-MINTOURISM,Ministry of Tourism and Cultural Heritage of the Republic of Uzbekistan,UZ-UP-2023-158,УП-158,On the 'Uzbekistan — 2030' Strategy,JICA-UZ-DIGITAL-INNOVATION,JICA,JICA Uzbekistan Digital Technology and Innovation Cooperation (Uzbek-Japanese Youth Innovation Center + Technical Cooperation),[TTL_NOT_FOUND] JICA Uzbekistan Office Representative (Tashkent). Search path: jica.go.jp/uzbekistan/english/.,case-uz-etravel-silk-road,Uzbekistan eTravelUzbekistan Digital Tourism Platform,Uzbekistan,tender,1800000,7000000,UZ tourism is rebounding to 8M+ visitors. UAE Louvre Abu Dhabi proves AI cultural-tourism. We deliver multilingual AI on UzCloud.,Schedule MinTourism digital meeting. | Reach out to JICA TTL. | Pre-position via Samarkand SCO summit if scheduled. | Engage UAE Louvre tech reference.,L2_VERIFIED
INI-029,AI Air-Quality Tashkent,UZ,Environment & Climate,B,6.15,6,6,6,6,7,uz-tashkent-city-head,Shavkat Umurzakov,Mayor (Khokim) of Tashkent City,,3,uz-mintsifry-dep2,Asilbek Nasimov,UZ-MINTRANSPORT,Ministry of Transport of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,EU-BOTH-C4CA,EU,Connectivity for Central Asia (C4CA),[TTL_NOT_FOUND] EU DG INTPA manages overall. Expertise France leads consortium. Contact: expertise-france.gestmax.fr for project vacancies. EU Delegation officers in Tashkent and Bishkek are political counterparts. Search path: Expertise France website C4CA project page.,case-cn-hangzhou-city-brain,Hangzhou City Brain AI Traffic Management,China,ppp,1200000,4500000,Tashkent winter air-quality is health crisis. EU C4CA $21.6M envelope authorizes. We deliver Russian-Uzbek bilingual air-quality AI on UzCloud.,Schedule Tashkent akimat meeting. | Reach out to EU-BOTH-C4CA TTL. | Sensor network procurement strategy. | Cross-link INI-018.,L2_VERIFIED
INI-042,Diaspora Bridge Advisory Network,UZ,AI Infrastructure (Enabling Layer),C,5.95,5,7,6,5,7,uz-firdavs-abdullayev,Firdavs Abdullayev,"CEO, IT Park Uzbekistan",https://www.linkedin.com/in/firdavs-abdullayev,1,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,UZ-IT-PARK,IT Park Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,UNDP-UZ-DIGITAL-PUBADMIN,UNDP,Public Administration Reforms and Digital Transformation (Uzbekistan) — completed phase; follow-on active,[TTL_NOT_FOUND] UNDP Uzbekistan Digital Programme Manager. Search path: jobs.undp.org UNDP-UZ digital programme manager vacancy post.,case-rw-irembo,Rwanda Irembo Digital Government Platform,Rwanda,direct,800000,3500000,Rwanda Irembo diaspora network catalyzed Vision 2050 AI strategy. UZ AI economy needs same. We formalize Stanford/Google/MIT/AWS bridge.,"Diaspora outreach (Tursunov, Toshmatov, Yakubov, Rakhimova). | IT Park engagement. | AI Center co-design. | UNDP TTL alignment.",INFERRED
INI-048,AI Education Platform (UZ Higher Ed Career Hub),UZ,Education,C,5.85,6,5,6,6,7,uz-kongratbay-sharipov,Kongratbay Sharipov,"Minister of Higher Education, Science and Innovations of the Republic of Uzbekistan",,1,uz-firdavs-abdullayev,Firdavs Abdullayev,UZ-MOHESI,"Ministry of Higher Education, Science and Innovations of the Republic of Uzbekistan",UZ-PP-2024-051,ПП-51,On Additional Support Measures for Training Qualified Specialists in Digitalization,KOICA-UZ-IT-EDU,KOICA,Enhancing Youth Employment and Entrepreneurship through Improving IT Education Ecosystem in Uzbekistan,[TTL_NOT_FOUND] KOICA Uzbekistan Office (Tashkent) — Country Director. Search path: koica.go.kr/sites/uzb_en/index.do.,case-kz-bilimland,Bilim Land EdTech Platform (Kazakhstan),Kazakhstan,tender,1200000,4500000,PP-2024-051 + UP-2024-095 commit UZ to digital workforce. KOICA-UZ-IT-EDU $14M envelope. We deliver bilingual career-hub AI.,MoHESI meeting. | IT Park dialogue. | KOICA TTL. | Cross-link INI-011.,INFERRED
INI-050,AI National Statistics (UZ Goskomstat),UZ,Public Administration & e-Government,C,5.85,5,6,6,5,8,uz-goskomstat-head,Botir Yusupov,"Chairman, State Committee on Statistics of the Republic of Uzbekistan (GosKomStat)",,1,uz-mintsifry-dep1,Sarvar Komilov,UZ-MOEF,Ministry of Economy and Finance of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,UNDP-UZ-DIGITAL-PUBADMIN,UNDP,Public Administration Reforms and Digital Transformation (Uzbekistan) — completed phase; follow-on active,[TTL_NOT_FOUND] UNDP Uzbekistan Digital Programme Manager. Search path: jobs.undp.org UNDP-UZ digital programme manager vacancy post.,case-est-eresidency,Estonia e-Residency — Digital Governance Export Programme,Estonia,direct,1500000,5500000,Goskomstat needs AI quality + predictive layer. PP-358 authorizes. UNDP envelope.,Goskomstat meeting. | UNDP TTL. | Cross-link INI-022. | Citizen dashboard prototype.,INFERRED
INI-049,AI Postal & Delivery (Uzposta),UZ,Transport & Urban,C,5.55,5,5,6,5,7,uz-uzposta-ceo,Asilbek Tashkentov,"CEO, Uzposta (State Postal Service — digital transformation mandate)",,3,uz-mintsifry-dep2,Asilbek Nasimov,UZ-UZPOSTA,,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,JICA-UZ-DIGITAL-INNOVATION,JICA,JICA Uzbekistan Digital Technology and Innovation Cooperation (Uzbek-Japanese Youth Innovation Center + Technical Cooperation),[TTL_NOT_FOUND] JICA Uzbekistan Office Representative (Tashkent). Search path: jica.go.jp/uzbekistan/english/.,case-br-pix,Brazil Pix Instant Payment System,Brazil,ppp,1500000,5500000,Uzposta digital transformation under PP-358. JICA Digital envelope. We deliver bilingual logistics AI.,Uzposta CEO meeting. | JICA TTL. | Cross-link INI-016. | Tashkent pilot.,INFERRED
